Afghanistan,Kabul,34.54,69.17,"3,097"
Albania,Tiranë (Tirana),41.33,19.82,419
Algeria,El Djazaïr  (Algiers),36.76,3.05,"2,916"
American Samoa,Pago Pago,-14.28,-170.70,64
Andorra,Andorra la Vella,42.51,1.51,23
Angola,Luanda,-8.84,13.23,"5,068"
Anguilla,The Valley,18.22,-63.05,2
Antigua and Barbuda,St. John's,17.12,-61.85,27
Argentina,Buenos Aires,-34.59,-58.67,"13,528"
Armenia,Yerevan,40.18,44.50,"1,116"
Aruba,Oranjestad,12.53,-70.03,37
Australia,Canberra,-35.31,149.13,399
Austria,Wien (Vienna),48.12,16.22,"1,720"
Azerbaijan,Baku,40.39,49.86,"2,123"
Bahamas,Nassau,25.06,-77.33,254
Bahrain,Al-Manamah (Manama),26.24,50.58,262
Bangladesh,Dhaka,23.72,90.41,"15,391"
Barbados,Bridgetown,13.11,-59.61,122
Belarus,Minsk,53.90,27.57,"1,861"
Belize,Belmopan,17.25,-88.79,14
Benin,Cotonou,6.35,2.43,924
Benin,Porto-Novo,6.48,2.62,314
Bermuda,Hamilton,32.30,-64.80,11
Bhutan,Thimphu,27.48,89.60,99
Bolivia (Plurinational State of),La Paz,-16.50,-68.15,"1,715"
Bolivia (Plurinational State of),Sucre,-19.04,-65.26,307
Bosnia and Herzegovina,Sarajevo,43.87,18.42,389
Botswana,Gaborone,-24.65,25.91,202
Brazil,Brasília,-15.78,-47.92,"3,813"
British Virgin Islands,Road Town,18.43,-64.63,10
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,16
Bulgaria,Sofia,42.69,23.31,"1,174"
Burkina Faso,Ouagadougou,12.37,-1.52,"2,053"
Burundi,Bujumbura,-3.38,29.37,605
Cambodia,Phnum Pénh (Phnom Penh),11.55,104.92,"1,550"
Cameroon,Yaoundé,3.87,11.52,"2,432"
Canada,Ottawa-Gatineau,45.42,-75.71,"1,208"
Cape Verde,Praia,14.93,-23.54,132
Cayman Islands,George Town,19.30,-81.38,28
Central African Republic,Bangui,4.38,18.62,740
Chad,N'Djaména,12.12,15.05,"1,079"
Channel Islands,St. Helier,49.18,-2.10,31
Chile,Santiago,-33.45,-70.67,"6,034"
China,Beijing,39.92,116.43,"15,594"
"China, Hong Kong SAR",Hong Kong,22.25,114.16,"7,122"
"China, Macao SAR",Macao,22.16,113.55,556
Colombia,Bogotá,4.63,-74.08,"8,744"
Comoros,Moroni,-11.70,43.24,54
Congo,Brazzaville,-4.25,15.26,"1,611"
Cook Islands,Rarotonga,-21.23,-159.76,15
Costa Rica,San José,9.93,-84.08,"1,515"
Côte d'Ivoire,Abidjan,5.32,-4.03,"4,288"
Côte d'Ivoire,Yamoussoukro,6.82,-5.28,966
Croatia,Zagreb,45.80,16.00,686
Cuba,La Habana (Havana),23.13,-82.36,"2,116"
Cyprus,Lefkosia (Nicosia),35.17,33.37,253
Czech Republic,Praha (Prague),50.08,14.43,"1,276"
Dem. People's Republic of Korea,P'yongyang,39.02,125.75,"2,843"
Democratic Republic of the Congo,Kinshasa,-4.30,15.30,"8,798"
Denmark,København (Copenhagen),55.71,12.56,"1,206"
Djibouti,Djibouti,11.60,43.15,496
Dominica,Roseau,15.30,-61.39,14
Dominican Republic,Santo Domingo,18.47,-69.90,"2,191"
Ecuador,Quito,-0.22,-78.50,"1,622"
Egypt,Al-Qahirah (Cairo),30.05,31.25,"11,169"
El Salvador,San Salvador,13.69,-89.19,"1,605"
Equatorial Guinea,Malabo,3.75,8.79,137
Eritrea,Asmara,15.33,38.93,712
Estonia,Tallinn,59.44,24.74,400
Ethiopia,Addis Ababa,9.03,38.70,"2,979"
Falkland Islands (Malvinas),Stanley,-51.70,-57.82,2
Faroe Islands,Tórshavn,62.03,-6.80,20
Fiji,Suva,-18.12,178.44,177
Finland,Helsinki,60.17,24.94,"1,134"
France,Paris,48.87,2.33,"10,620"
French Guiana,Cayenne,4.93,-52.33,67
French Polynesia,Papeete,-17.53,-149.57,137
Gabon,Libreville,0.40,9.46,686
Gambia,Banjul,13.45,-16.60,506
Georgia,Tbilisi,41.72,44.78,"1,121"
Germany,Berlin,52.52,13.38,"3,462"
Ghana,Accra,5.55,-0.22,"2,573"
Gibraltar,Gibraltar,36.14,-5.35,29
Greece,Athínai (Athens),37.98,23.73,"3,414"
Greenland,Nuuk (Godthåb),64.18,-51.73,16
Grenada,St.George's,12.06,-61.74,41
Guadeloupe,Basse-Terre,16.00,-61.72,13
Guam,Hagåtña,13.46,144.75,169
Guatemala,Ciudad de Guatemala (Guatemala City),14.63,-90.52,"1,168"
Guinea,Conakry,9.51,-13.71,"1,786"
Guinea-Bissau,Bissau,11.88,-15.63,423
Guyana,Georgetown,6.79,-58.16,127
Haiti,Port-au-Prince,18.54,-72.34,"2,207"
Holy See,Vatican City,41.90,12.45,0
Honduras,Tegucigalpa,14.10,-87.22,"1,088"
Hungary,Budapest,47.50,19.08,"1,737"
Iceland,Reykjavík,64.14,-21.92,206
India,Delhi,28.67,77.22,"22,654"
Indonesia,Jakarta,-6.13,106.75,"9,769"
Iran (Islamic Republic of),Tehran,35.67,51.42,"7,304"
Iraq,Baghdad,33.34,44.39,"6,036"
Ireland,Dublin,53.33,-6.25,"1,121"
Isle of Man,Douglas,54.15,-4.48,27
Israel,Jerusalem,31.78,35.22,791
Italy,Roma (Rome),41.89,12.50,"3,298"
Jamaica,Kingston,17.99,-76.80,571
Japan,Tokyo,35.69,139.75,"37,217"
Jordan,Amman,31.95,35.93,"1,179"
Kazakhstan,Astana,51.17,71.47,664
Kenya,Nairobi,-1.28,36.82,"3,363"
Kiribati,Tarawa,1.50,173.00,44
Kuwait,Al Kuwayt (Kuwait City),29.33,47.98,"2,406"
Kyrgyzstan,Bishkek,42.87,74.57,839
Lao People's Democratic Republic,Vientiane,17.96,102.60,810
Latvia,Riga,56.95,24.10,701
Lebanon,Bayrut (Beirut),33.87,35.51,"2,022"
Lesotho,Maseru,-29.32,27.48,239
Liberia,Monrovia,6.31,-10.80,750
Libya,Tarabulus (Tripoli),32.89,13.18,"1,127"
Liechtenstein,Vaduz,47.14,9.53,5
Lithuania,Vilnius,54.67,25.32,546
Luxembourg,Luxembourg,49.62,6.10,94
Madagascar,Antananarivo,-18.92,47.52,"1,987"
Malawi,Lilongwe,-13.98,33.78,772
Malaysia,Kuala Lumpur,3.17,101.70,"1,556"
Maldives,Male,4.17,73.50,132
Mali,Bamako,12.65,-8.00,"2,037"
Malta,Valletta,35.90,14.51,198
Marshall Islands,Majuro,7.08,171.13,31
Martinique,Fort-de-France,14.60,-61.08,87
Mauritania,Nouakchott,18.10,-15.95,786
Mauritius,Port Louis,-20.17,57.50,151
Mayotte,Mamoudzou,0.00,0.00,6
Mexico,Ciudad de México (Mexico City),19.50,-99.12,"20,446"
Micronesia (Fed. States of),Palikir,6.92,158.15,7
Monaco,Monaco,43.73,7.44,35
Mongolia,Ulaanbaatar,47.92,106.92,"1,184"
Montenegro,Podgorica,42.44,19.26,156
Montserrat,Brades Estate,16.78,-62.20,1
Montserrat,Plymouth,16.73,-62.23,0
Morocco,Rabat,34.03,-6.83,"1,843"
Mozambique,Maputo,-25.97,32.59,"1,150"
Myanmar,Nay Pyi Taw,19.75,96.12,"1,060"
Namibia,Windhoek,-22.57,17.08,380
Nauru,Nauru,-0.53,166.91,10
Nepal,Kathmandu,27.72,85.32,"1,015"
Netherlands,Amsterdam,52.37,4.89,"1,056"
Netherlands,s-Gravenhage (The Hague),52.08,4.28,635
Netherlands Antilles,Willemstad,12.10,-68.93,115
New Caledonia,Nouméa,-22.27,166.44,157
New Zealand,Wellington,-41.28,174.78,410
Nicaragua,Managua,12.15,-86.27,970
Niger,Niamey,13.52,2.12,"1,297"
Nigeria,Abuja,9.12,7.46,"2,153"
Niue,Alofi,-19.01,169.91,1
Northern Mariana Islands,Saipan,15.12,145.45,56
Norway,Oslo,59.91,10.75,915
Occupied Palestinian Territory,Ramallah,31.90,35.20,75
Oman,Masqat (Muscat),23.61,58.59,743
Pakistan,Islamabad,33.70,73.17,919
Palau,Melekeok,7.48,134.63,1
Panama,Ciudad de Panamá (Panama City),8.97,-79.53,"1,426"
Papua New Guinea,Port Moresby,-9.48,147.18,343
Paraguay,Asunción,-25.27,-57.67,"2,139"
Peru,Lima,-12.05,-77.05,"9,130"
Philippines,Manila,14.58,121.00,"11,862"
Pitcairn,Adamstown,-25.06,-130.08,0
Poland,Warszawa (Warsaw),52.26,21.02,"1,723"
Portugal,Lisboa (Lisbon),38.72,-9.14,"2,843"
Puerto Rico,San Juan,18.41,-66.06,"2,475"
Qatar,Ad-Dawhah (Doha),25.25,51.60,567
Republic of Korea,Seoul,37.57,127.00,"9,736"
Republic of Moldova,Chi?in?u,47.00,28.86,677
Réunion,Saint-Denis,-20.87,55.45,145
Romania,Bucuresti (Bucharest),44.44,26.10,"1,937"
Russian Federation,Moskva (Moscow),55.75,37.62,"11,621"
Rwanda,Kigali,-1.96,30.04,"1,004"
Saint Helena,Jamestown,-15.93,-5.73,1
Saint Kitts and Nevis,Basseterre,17.31,-62.73,12
Saint Lucia,Castries,14.03,-60.98,21
Saint Pierre and Miquelon,Saint-Pierre,46.80,-56.20,5
Saint Vincent and the Grenadines,Kingstown,13.16,-61.23,31
Samoa,Apia,-13.83,-171.76,37
San Marino,San Marino,43.94,12.43,4
Sao Tome and Principe,São Tomé,0.36,6.73,64
Saudi Arabia,Ar-Riyadh (Riyadh),24.64,46.77,"5,451"
Senegal,Dakar,14.72,-17.48,"3,035"
Serbia,Beograd (Belgrade),44.81,20.47,"1,135"
Seychelles,Victoria,-4.62,55.45,27
Sierra Leone,Freetown,8.49,-13.23,941
Singapore,Singapore,1.30,103.85,"5,188"
Slovakia,Bratislava,48.16,17.13,434
Slovenia,Ljubljana,46.06,14.51,273
Solomon Islands,Honiara,-9.43,159.91,68
Somalia,Muqdisho (Mogadishu),2.07,45.37,"1,554"
South Africa,Bloemfontein,-29.13,26.20,468
South Africa,Cape Town,-33.92,18.42,"3,562"
South Africa,Pretoria,-25.75,28.20,"1,501"
South Sudan,Juba,4.83,31.58,269
Spain,Madrid,40.42,-3.71,"6,574"
Sri Lanka,Colombo,6.93,79.85,693
Sri Lanka,Sri Jayewardenepura Kotte,6.90,79.90,126
Sudan,Al-Khartum (Khartoum),15.59,32.53,"4,632"
Suriname,Paramaribo,5.85,-55.20,278
Swaziland,Mbabane,-26.32,31.13,66
Sweden,Stockholm,59.33,18.05,"1,385"
Switzerland,Bern,46.92,7.47,353
Syrian Arab Republic,Dimashq (Damascus),33.50,36.31,"2,650"
Tajikistan,Dushanbe,38.63,68.85,739
TFYR Macedonia,Skopje,42.00,21.46,499
Thailand,Krung Thep (Bangkok),13.75,100.52,"8,426"
Timor-Leste,Dili,-8.58,125.58,180
Togo,Lomé,6.17,1.35,"1,524"
Tonga,Nuku'alofa,-21.14,-175.22,25
Trinidad and Tobago,Port of Spain,10.65,-61.52,66
Tunisia,Tunis,36.80,10.18,790
Turkey,Ankara,39.92,32.83,"4,194"
Turkmenistan,Ashgabat,37.95,58.38,683
Turks and Caicos Islands,Cockburn Town,21.47,-71.13,7
Tuvalu,Funafuti,-8.51,179.21,5
Uganda,Kampala,0.32,32.58,"1,659"
Ukraine,Kyiv (Kiev),50.44,30.52,"2,829"
United Arab Emirates,Abu Zaby (Abu Dhabi),24.46,54.36,942
United Kingdom,London,51.50,-0.12,"9,005"
United Republic of Tanzania,Dodoma,-6.17,35.74,226
United States of America,"Washington, D.C.",38.88,-77.03,"4,705"
United States Virgin Islands,Charlotte Amalie,18.34,-64.93,60
Uruguay,Montevideo,-34.87,-56.18,"1,672"
Uzbekistan,Tashkent,41.32,69.25,"2,227"
Vanuatu,Port Vila,-17.74,168.32,47
Venezuela (Bolivarian Republic of),Caracas,10.50,-66.92,"3,242"
Viet Nam,Hà Noi,21.01,105.86,"2,955"
Wallis and Futuna Islands,Matu-Utu,-13.28,-176.14,1
Western Sahara,El Aaiún,27.15,-13.20,237
Yemen,Sana'a',15.38,44.21,"2,419"
Zambia,Lusaka,-15.43,28.33,"1,802"
Zimbabwe,Harare,-17.83,31.05,"1,542"
