city,station,element,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Jefferson City,USW00003963,TMIN,-38,11,89,67,39,0,-27,0,-16,94,-5,-43,-82,-99,-77,-55,-93,-116,-60,-93,-71,83,67,0,-49,-55,-16,-21,-9999,-9999,-9999
Helana,USR0000MHEL,TMIN,-6,11,-17,17,67,50,0,-11,-100,-150,-183,-211,-206,-206,-172,-156,-172,-122,-144,-100,0,-6,-22,-22,-6,-44,-61,-67,-244,-261,-9999
Helana,USS0012C13S,TMIN,6,-22,-22,-6,22,39,-17,-17,-150,-206,-244,-278,-239,-183,-228,-122,-78,-56,-89,-33,-33,-33,-44,-50,-39,-39,39,17,-9999,-9999,-9999
Helana,USW00024144,TMIN,11,11,22,0,61,56,33,-10,-88,-143,-188,-193,-221,-182,-166,-149,-160,-116,-121,-105,0,11,-5,-5,0,-49,-71,-60,-9999,-9999,-9999
Lincoln,USC00257055,TMIN,-50,-56,-9999,-9999,-9999,-9999,-9999,-9999,17,44,-94,-117,-9999,-9999,-150,-167,-9999,-144,-9999,-117,-117,-94,0,-17,-100,-100,-100,-117,-9999,-9999,-9999
Lincoln,USW00014939,TMIN,-55,61,78,33,28,17,-5,6,44,-49,-77,-110,-121,-155,-88,-149,-138,-138,-99,-127,-77,28,22,-38,-88,-82,-110,-49,-9999,-9999,-9999
Lincoln,USW00094995,TMIN,-43,43,73,20,41,4,17,9,47,-53,-83,-109,-139,-164,-89,-152,-144,-158,-122,-131,-81,26,14,-45,-101,-69,-105,-45,-30,-9999,-9999
Lincoln,USW00094996,TMIN,-42,55,61,19,40,11,24,11,49,-57,-89,-114,-126,-146,-94,-150,-157,-163,-104,-109,-79,21,18,-58,-85,-84,-104,-28,-19,-9999,-9999
Carson City,USC00261485,TMIN,-9999,-6,-56,-33,-9999,-6,-9999,-9999,6,44,-44,-9999,-11,-9999,-9999,-9999,-9999,-100,-22,-11,-9999,-9999,-9999,-9999,-72,-39,33,-9999,-9999,-9999,-9999
Carson City,USC00262119,TMIN,-44,-61,-44,-56,-28,6,-9999,33,0,50,39,0,28,-22,-22,-9999,-78,-39,6,-33,-39,22,-72,-56,-22,6,44,28,-9999,-9999,-9999
Carson City,USC00263205,TMIN,0,-33,-33,0,22,17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6,-56,-22,-11,50,11,-11,61,-22,-17,6,28,89,89,11,-9999,-9999
Carson City,USC00265191,TMIN,39,-22,-72,-72,-56,-9999,-17,-17,-28,-6,-61,-61,-56,-22,-56,-94,-122,-122,-83,-33,-56,-56,-72,-78,-72,-67,-44,67,33,39,-9999
Carson City,USC00265194,TMIN,39,-28,-56,-50,-33,-11,11,0,0,0,-39,-39,-28,6,-50,-83,-117,-111,-89,-11,-39,-28,-61,-67,-67,-50,-6,67,44,50,-9999
Carson City,USC00268761,TMIN,-9999,-9999,-28,-11,33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11,-9999,-9999,-9999,-83,-56,17,11,-11,39,-33,-22,-9999,-9999,94,72,-9999,-9999,-9999
Carson City,USR0000NFIS,TMIN,11,-17,-39,-17,17,33,78,44,44,28,-22,-28,11,22,-6,-83,-83,-61,6,11,-28,0,-44,-39,-17,50,133,106,28,22,-9999
Carson City,USR0000NGAL,TMIN,0,-39,-22,-11,17,56,67,39,56,6,-6,-28,0,6,-33,-83,-83,-56,17,0,-17,0,-39,-33,0,44,106,28,11,0,-9999
Carson City,USR0000NLIT,TMIN,-44,-83,-100,-67,-44,-28,-28,-44,-28,-17,61,-56,50,33,-39,-111,-144,-133,-6,-6,-39,-33,-78,-94,-22,-17,89,61,0,0,-9999
Carson City,USS0019K04S,TMIN,-28,-61,-50,-11,17,28,28,33,33,28,33,11,11,-11,-67,-72,-17,-22,11,-11,-33,-39,-44,-39,-11,11,39,17,-9999,-9999,-9999
Carson City,USS0019K07S,TMIN,-56,-78,-61,6,28,56,44,50,67,50,39,11,-11,-17,-83,-83,-17,-11,-11,-39,-50,-56,-67,-50,33,50,39,-39,-9999,-9999,-9999
Carson City,USS0019L24S,TMIN,-50,-83,-50,-11,11,28,28,33,33,11,0,-11,-6,-33,-61,-61,-28,-22,-6,-39,-61,-50,-44,-56,-11,17,-994,-994,-9999,-9999,-9999
Concord,USC00277833,TMIN,-6,17,-11,-22,17,6,17,-11,-6,-28,-22,-6,0,-17,-67,-78,-61,-6,-67,-78,-78,-100,-78,11,33,17,-28,-44,-128,-128,-9999
Concord,USW00014745,TMIN,-10,22,-16,-38,-16,-16,22,0,-27,-32,-27,39,-32,-27,-82,-88,0,-55,-60,-49,-66,-116,0,6,0,-5,-21,-9999,-149,-9999,-9999
Trenton,USC00283951,TMIN,0,33,17,33,89,72,56,-28,-11,-22,-6,44,0,-11,-50,-50,-28,-50,-78,-78,-44,-89,-78,33,128,44,-11,-39,-83,-67,-9999
Trenton,USC00366194,TMIN,56,39,22,56,72,78,28,-28,6,-17,11,39,-11,-39,-50,-44,28,-56,-72,-50,-67,-89,0,61,39,0,-39,-56,-78,-9999,-9999
Trenton,USW00014792,TMIN,61,39,28,89,94,83,28,-10,22,0,39,61,6,-5,-21,-38,33,-55,-71,-38,-43,-71,22,106,61,6,-10,-49,-71,-9999,-9999
Santa Fe,USC00298088,TMIN,67,67,6,-17,-11,0,11,11,-6,22,0,-56,-111,-111,-33,-67,-117,-117,-83,-50,-33,-28,-11,-106,-117,-111,-33,-33,6,-9999,-9999
Santa Fe,USS0005P09S,TMIN,11,-17,-72,-61,-22,0,6,0,-6,-22,-50,-50,-56,-39,-56,-139,-122,-94,-56,-50,-56,-50,-150,-156,-150,-67,6,6,-9999,-9999,-9999
Santa Fe,USW00023049,TMIN,44,50,0,-27,-32,-10,-21,-27,0,22,-27,-93,-105,-27,6,-71,-116,-93,-77,-55,-43,-32,-43,-116,-132,-16,-27,-43,-9999,-9999,-9999
Albany,USC00308600,TMIN,6,39,-6,0,78,50,44,22,-9999,6,17,78,-11,-11,-28,-28,-11,-11,-9999,-50,-61,-72,-61,17,-61,33,-11,-28,-67,-72,-9999
Albany,USW00014735,TMIN,39,17,-10,67,28,39,22,17,-5,-10,67,22,-32,-16,-49,-55,6,-66,-55,-66,-88,-93,22,78,17,-5,-27,-77,-93,-9999,-9999
Raleigh,USC00310212,TMIN,50,33,-6,0,50,106,50,6,22,33,39,78,89,17,-39,-33,11,-17,-61,-61,-11,-44,-44,50,144,72,22,-22,-22,11,-9999
Raleigh,USC00311535,TMIN,50,33,-6,-6,50,111,50,6,6,28,28,72,89,6,-39,-39,6,-17,-61,-56,-17,-50,-50,39,144,72,22,-22,-22,0,-9999
Raleigh,USC00311820,TMIN,56,28,-17,-17,22,83,44,0,28,17,17,72,89,17,-39,-33,50,-11,-78,-72,-28,-61,-61,44,44,83,44,-28,-33,-33,-9999
Raleigh,USC00312993,TMIN,44,39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-22,-56,-56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Raleigh,USC00316122,TMIN,61,33,-33,-9999,-9999,89,28,-11,-6,-9999,-9999,72,89,-9999,-50,-50,0,-22,-89,-89,-33,-67,-67,0,144,78,6,-9999,-39,-22,-9999
Raleigh,USW00013722,TMIN,72,28,-16,44,83,100,33,-5,44,17,72,100,67,-16,-38,-27,61,-49,-71,-21,-32,-55,11,156,89,17,17,-32,-27,-9999,-9999
Bismarck,USC00320817,TMIN,-72,-11,11,-17,-11,-33,-33,-33,-39,-78,-144,-133,-144,-228,-228,-183,-167,-161,-139,-122,-106,-83,-33,-128,-128,-156,-217,-211,-128,-200,-9999
Bismarck,USC00325479,TMIN,-9999,-9999,0,-22,-17,-9999,-9999,-9999,-9999,-9999,-9999,-150,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Bismarck,USW00024011,TMIN,-10,-5,-32,-49,-32,-71,22,-32,-55,-99,-127,-127,-210,-255,-232,-171,-160,-138,-116,-116,-105,-71,-82,-116,-82,-238,-243,-138,-9999,-9999,-9999
Columbus,USC00338951,TMIN,22,-28,-17,83,61,67,22,-6,28,44,78,17,-22,-61,-83,-22,-78,-117,-106,-56,-100,-78,67,67,11,-33,-22,-56,-11,-9999,-9999
Columbus,USW00004804,TMIN,0,-27,-16,78,61,56,0,0,11,56,39,0,-38,-71,-93,-10,-93,-121,-105,-55,-121,-60,78,28,-32,-43,-21,-60,-10,-9999,-9999
Columbus,USW00014821,TMIN,11,-16,-16,83,67,56,-5,0,28,44,39,6,-32,-66,-77,-16,-82,-110,-105,-60,-99,-55,67,33,-21,-21,-21,-60,-10,-9999,-9999
Oklahoma City,USC00346386,TMIN,6,6,72,89,72,44,17,17,28,33,-11,-50,-50,-50,-44,-6,-94,-78,-72,0,6,139,122,17,-17,-11,-6,-11,33,106,-9999
Oklahoma City,USW00003954,TMIN,22,72,111,78,67,44,33,39,28,28,-27,-66,-60,-49,-10,-55,-88,-71,0,17,56,133,61,6,-16,17,-32,56,-9999,-9999,-9999
Oklahoma City,USW00013967,TMIN,17,72,111,78,61,50,22,39,17,33,-16,-55,-43,-55,-32,-55,-82,-71,-5,6,67,128,50,22,-5,11,-10,33,-9999,-9999,-9999
Salem,USC00357823,TMIN,50,50,89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17,11,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,72,67,67,-9999,-9999,-9999,-9999,-9999,-9999
Salem,USW00024232,TMIN,50,72,106,122,106,61,44,33,50,44,0,0,6,-16,-49,-60,-55,-49,0,44,72,56,78,61,128,106,117,67,-9999,-9999,-9999
Harrisburg,USC00363698,TMIN,67,50,39,50,78,72,67,-6,-11,-6,0,22,-11,-11,-22,-33,-6,-67,-78,-78,-44,-89,-89,6,78,33,0,-11,-50,-33,-9999
Harrisburg,USW00014711,TMIN,56,39,33,33,83,56,11,-10,11,0,6,28,6,-5,-27,-21,11,-55,-66,-27,-60,-82,-10,78,22,0,0,-38,-55,-9999,-9999
Harrisburg,USW00014751,TMIN,61,44,28,61,89,61,11,-21,11,0,11,33,0,-16,-27,-21,17,-60,-82,-27,-66,-88,6,83,28,6,-5,-38,-55,-9999,-9999
Providence,USC00379423,TMIN,50,33,6,6,72,56,67,-17,6,-17,-17,33,6,6,-56,-67,-28,22,-61,-44,-44,-83,-17,11,111,50,-6,-17,-83,-50,-9999
Providence,USW00014765,TMIN,44,22,11,17,83,72,28,-5,22,-5,11,67,22,0,-27,-43,33,-38,-60,-27,-38,-71,33,39,72,11,-5,-43,-66,-9999,-9999
Columbia,USC00381479,TMIN,6,-22,-39,-6,0,67,6,6,6,-6,0,22,28,50,-44,-39,22,-33,-100,-100,-56,-44,-44,100,150,72,11,-50,-50,-39,-9999
Columbia,USC00381944,TMIN,17,11,-6,33,94,139,67,-9999,78,44,83,78,106,39,-28,6,72,-17,-56,-11,17,-17,78,161,133,78,28,-22,-22,-9999,-9999
Columbia,USC00387666,TMIN,17,0,11,50,83,122,56,28,39,39,67,-9999,89,44,-28,-17,33,-17,-56,-44,11,-22,0,56,-9999,78,72,-33,-6,11,-9999
Columbia,USW00013883,TMIN,11,17,-10,22,89,139,44,11,56,22,78,56,100,17,-10,-16,39,-32,-66,-32,11,-27,89,172,139,44,44,-10,-21,-9999,-9999
Columbia,USW00053867,TMIN,33,22,6,33,94,144,61,39,72,44,89,78,106,17,-5,0,50,-27,-55,-21,11,-10,89,172,139,50,28,-16,-10,-9999,-9999
Pierre,USW00024025,TMIN,11,39,6,-10,-5,-38,28,-27,-10,-93,-132,-132,-210,-221,-171,-205,-143,-160,-110,-105,-88,-88,-32,-77,-60,-105,-132,-88,-9999,-9999,-9999
Nashville,USC00401039,TMIN,28,-50,-11,6,111,94,28,0,-9999,-17,-11,6,-17,-78,-83,-83,0,-83,-94,-44,-44,-11,61,-9999,-9999,-9999,-56,-78,-72,67,-9999
Nashville,USC00403280,TMIN,-9999,-39,-44,6,100,106,28,-9999,-9999,-11,-17,0,-22,-67,-9999,-67,-11,-83,-89,-50,-9999,-11,28,111,-22,-39,-39,-67,-67,56,-9999
Nashville,USC00403465,TMIN,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-94,-94,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Nashville,USC00403636,TMIN,11,-44,-22,-6,106,100,17,-9999,-6,11,28,-6,-28,-83,-83,-72,-17,-94,-94,-61,-44,-22,78,100,11,-50,-9999,-9999,-9999,-9999,-9999
Nashville,USC00404876,TMIN,11,-39,-6,6,111,111,28,6,-11,-17,-17,-17,-17,-72,-83,-56,-6,-83,-89,-39,-33,6,83,128,-22,-50,-50,-61,-28,83,-9999
Nashville,USC00406403,TMIN,33,-17,-17,22,106,117,28,22,11,0,0,17,-6,-56,-50,-56,6,-67,-78,-33,-22,0,61,122,11,-22,-22,-56,-50,78,-9999
Nashville,USC00406803,TMIN,28,-22,-22,56,72,106,33,11,-9999,-6,-6,11,-11,-9999,-67,-67,-17,-78,-28,-83,-39,-28,-9999,-28,-6,-28,-9999,-9999,-50,-50,-9999
Nashville,USC00406806,TMIN,22,-17,-17,28,100,106,33,22,22,22,22,11,-17,-50,-61,-50,0,-72,-72,-56,-28,-28,61,117,22,-17,-28,-50,17,50,-9999
Nashville,USC00408238,TMIN,22,-9999,-6,50,106,100,17,6,-9999,-9999,-9999,11,-17,-78,-78,-9999,-6,-78,-78,-39,-44,22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Nashville,USC00408562,TMIN,11,-44,-11,44,111,100,22,17,-6,11,44,0,-22,-61,-78,-61,-11,-94,-94,-39,-33,-28,83,128,11,-50,-44,-9999,-9999,-9999,-9999
Nashville,USC00409431,TMIN,-9999,-39,-6,-9999,-9999,-9999,-9999,6,-11,-11,61,-9999,-9999,-9999,-9999,-9999,-39,-83,-83,-9999,-9999,28,100,83,-22,-9999,-9999,-9999,-9999,-9999,-9999
Nashville,USC00409709,TMIN,22,-39,11,28,106,100,11,11,6,11,28,0,-22,-83,-83,-39,-11,-94,-94,-33,-44,-28,111,128,0,-44,6,-67,11,106,-9999
Nashville,USW00013897,TMIN,11,-27,11,83,111,67,28,22,11,0,33,11,-32,-55,-55,33,-49,-71,-77,-16,-21,61,111,33,6,-21,-27,-55,-9999,-9999,-9999
Austin,USC00410433,TMIN,67,67,89,150,111,111,83,78,61,61,78,11,0,-22,0,44,-28,-28,-28,-6,72,161,106,56,22,33,44,50,78,133,-9999
Austin,USC00412585,TMIN,-9999,-9999,144,189,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Austin,USW00013904,TMIN,50,33,117,144,128,128,78,72,44,39,44,28,-21,-38,56,17,-21,-32,-32,17,161,139,111,22,6,39,22,6,-9999,-9999,-9999
Austin,USW00013958,TMIN,83,89,150,144,128,128,89,89,83,94,56,22,-5,-10,44,11,-10,-10,6,67,167,144,117,44,33,56,56,56,-9999,-9999,-9999
Salt Lake City,USC00421446,TMIN,-9999,-9999,0,-56,-9999,-9999,6,-11,6,17,-56,-9999,-9999,-22,-39,-133,-122,-100,-78,-33,-44,-22,-33,-33,-61,-9999,-9999,6,-9999,-9999,-9999
Salt Lake City,USC00427606,TMIN,128,50,22,17,56,56,61,61,61,56,11,-33,-44,-11,-17,-94,-61,-39,-22,0,0,28,-6,28,6,56,94,106,106,-9999,-9999
Salt Lake City,USS0011J11S,TMIN,0,-28,-61,-61,6,17,6,-6,56,-39,-117,-172,-172,-17,-178,-178,-117,-83,-6,-33,-28,-44,-67,-83,-61,6,44,50,-9999,-9999,-9999
Salt Lake City,USS0011J12S,TMIN,22,-11,-50,-61,-11,-11,0,-17,0,-28,-94,-144,-150,-6,-178,-200,-167,-133,-72,-50,-56,-22,-56,-111,-89,-11,-6,17,-9999,-9999,-9999
Salt Lake City,USS0011J37S,TMIN,22,-11,-39,-39,6,17,22,11,50,-33,-94,-156,-156,0,-139,-172,-122,-78,-17,-6,-11,-22,-50,-72,-50,17,61,78,-9999,-9999,-9999
Salt Lake City,USS0011J52S,TMIN,-994,-994,-994,-44,6,17,22,11,-994,-994,-994,-994,-994,-994,-994,-994,-994,-994,-9999,-11,-11,-33,-61,-83,-72,11,17,39,-9999,-9999,-9999
Salt Lake City,USS0011J65S,TMIN,-11,-44,-67,-44,-6,61,17,17,39,-61,-83,-94,-72,-33,-156,-172,-94,-72,-11,-22,-22,-61,-89,-100,-72,-6,39,44,-9999,-9999,-9999
Salt Lake City,USS0011J68S,TMIN,6,-28,-50,-50,11,33,33,17,39,-44,-78,-122,-94,-22,-144,-161,-122,-89,-28,-17,-17,-39,-67,-83,-72,6,39,56,-9999,-9999,-9999
Salt Lake City,USS0011J69S,TMIN,33,-17,-50,-61,-22,-6,6,-11,-6,-56,-72,-111,-100,-28,-156,-178,-150,-122,-72,-33,-39,-22,-56,-111,-111,-22,-17,11,-9999,-9999,-9999
Salt Lake City,USW00024127,TMIN,100,44,11,-16,28,17,22,17,33,6,-27,-49,-49,-5,-66,-99,-88,-77,-49,-27,-38,17,-5,-16,-10,17,61,56,-9999,-9999,-9999
Montpelier,USC00435273,TMIN,11,17,0,0,6,-9999,28,0,0,-17,0,0,-11,-22,-33,-44,0,-6,-50,-72,-72,-83,-78,17,33,-9999,-22,-44,-122,-122,-9999
Montpelier,USC00435733,TMIN,-9999,-9999,-9999,-9999,0,28,22,-22,0,-33,-17,-17,-17,-44,-44,-61,-11,-22,-61,-78,-61,-94,-94,0,44,0,-39,-67,-150,-67,-9999
Montpelier,USC00436391,TMIN,-9999,-9999,-33,-39,-9999,11,11,-22,-22,-50,-39,-39,-39,-50,-67,-83,-22,-22,-72,-94,-106,-111,-94,-6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Montpelier,USC00439988,TMIN,0,-11,-28,-17,22,39,11,-33,-33,-11,-9999,-9999,-11,-39,-56,-56,-33,-33,-78,-83,-72,-89,-89,33,56,-6,-50,-67,-111,-111,-9999
Montpelier,USW00094705,TMIN,0,-10,-21,-27,44,28,-10,-21,-32,-32,17,17,-32,-60,-66,-49,-10,-71,-82,-71,-71,-99,33,44,33,-27,-55,-105,-155,-9999,-9999
Richmond,USC00440327,TMIN,33,39,-28,67,89,100,44,-33,33,-6,22,117,50,-17,-67,-28,50,-33,-106,-11,-50,-83,-17,-22,94,0,6,-44,-50,-9999,-9999
Richmond,USC00447541,TMIN,28,56,-22,-9999,-9999,-9999,-9999,-9999,-28,-6,0,50,56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-39,-78,-78,17,150,61,17,-28,-39,-22,-9999
Richmond,USW00013740,TMIN,50,28,-10,50,100,111,28,-16,50,17,56,100,33,-10,-32,-5,61,-27,-77,-10,-32,-60,11,161,100,28,22,-21,-32,-9999,-9999
Richmond,USW00093775,TMIN,33,-5,-27,72,122,89,11,-27,28,0,22,83,17,-32,-66,-21,56,-55,-93,-10,-55,-77,11,156,89,11,-5,-38,-43,-9999,-9999
Olympia,USW00024227,TMIN,39,22,106,100,94,78,17,11,61,-5,-27,-21,-55,-88,-93,-88,-77,-71,-10,50,78,50,44,22,106,122,111,28,-9999,-9999,-9999
Charleston,USC00467852,TMIN,6,-11,-28,-9999,-9999,-9999,-9999,-22,-17,6,6,22,-9999,-9999,-9999,-83,11,-83,-111,-111,-78,-78,-67,50,11,6,-9999,-9999,-9999,-9999,-9999
Charleston,USC00468191,TMIN,0,-28,-44,-44,-11,83,44,-39,-39,-11,-11,-6,17,-39,-100,-100,0,-83,-128,-128,-89,-100,-83,11,-17,-17,-6,-28,-44,-17,-9999
Charleston,USW00013866,TMIN,22,-10,-32,11,100,67,-5,-21,28,0,33,28,-16,-55,-82,0,-55,-77,-110,-27,-60,-77,33,72,28,6,-10,-32,-9999,-9999,-9999
Madison,USC00470273,TMIN,-39,-61,39,61,11,11,-28,-22,17,17,11,-72,-67,-61,-128,-89,-156,-150,-144,-111,-167,-161,17,33,-83,-139,-9999,-9999,-9999,-9999,-9999
Madison,USC00470308,TMIN,-78,-39,0,44,-11,-6,-11,-11,0,-6,0,-83,-78,-100,-128,-94,-150,-139,-139,-111,-172,-156,11,28,-72,-150,-9999,-9999,-9999,-9999,-9999
Madison,USC00471416,TMIN,-39,-44,-11,-11,11,11,-11,-11,11,11,11,-67,-9999,-9999,-111,-111,-144,-150,-150,-117,-156,-150,-150,33,-83,-122,-111,-9999,-94,-17,-9999
Madison,USC00471840,TMIN,-39,-39,39,56,6,22,-28,-6,17,6,11,-9999,-67,-61,-128,-83,-133,-139,-133,-106,-172,-167,-9999,28,-67,-9999,-9999,-9999,-9999,-9999,-9999
Madison,USC00478229,TMIN,-39,-22,-33,56,6,11,-39,-33,28,-33,17,-72,-72,-61,-122,-156,-156,-156,-150,-117,-167,-167,33,39,-89,-133,-117,-133,-9999,-9999,-9999
Madison,USW00014837,TMIN,-55,-5,56,61,28,0,-21,28,22,17,-38,-66,-49,-110,-121,-116,-132,-132,-82,-138,-166,-10,72,-60,-110,-132,-143,-110,-49,-9999,-9999
Cheyenne,USC00481676,TMIN,0,50,-6,-28,28,-6,61,-22,78,-122,111,-9999,-9999,-150,-161,-189,-94,-56,-28,-67,11,-39,-33,-56,-94,-61,44,-9999,72,-9999,-9999
Cheyenne,USW00024018,TMIN,0,44,-27,-38,11,-10,22,-21,67,-143,-199,-255,-255,-155,-188,-177,-88,-49,-49,-60,-16,-38,-43,-99,-99,-55,50,61,-9999,-9999,-9999
